,Open,High,Low,Close,Volume,VWAP
2024-11-11 09:30:00,224.19000244140625,225.6999969482422,223.7449951171875,225.05499267578125,4812751,224.8333282470703
2024-11-11 09:45:00,222.89500427246094,224.6300048828125,222.77000427246094,224.19000244140625,3231324,224.44368054316902
2024-11-11 10:00:00,223.08990478515625,223.49000549316406,222.8636016845703,222.89999389648438,1801008,224.19504532564983
2024-11-11 10:15:00,222.80499267578125,223.35000610351562,222.7899932861328,223.0800018310547,1384834,224.05671978489318
2024-11-11 10:30:00,223.19000244140625,223.72000122070312,222.8000030517578,222.80999755859375,1556172,223.94149628916398
2024-11-11 10:45:00,222.75,223.24000549316406,222.7449951171875,223.19000244140625,1423022,223.8530488931123
2024-11-11 11:00:00,222.99000549316406,223.35000610351562,222.75,222.7550048828125,1126651,223.7868285735163
2024-11-11 11:15:00,222.78500366210938,223.02960205078125,222.7200927734375,223.00999450683594,900669,223.73873802366313
2024-11-11 11:30:00,222.89999389648438,223.02499389648438,222.6999969482422,222.72999572753906,773144,223.69690224443735
2024-11-11 11:45:00,222.7799072265625,223.1387939453125,222.66000366210938,222.85000610351562,1731555,223.6216970782617
2024-11-11 12:00:00,222.50999450683594,222.875,222.39999389648438,222.77999877929688,940724,223.57692610704427
2024-11-11 12:15:00,222.19500732421875,222.52000427246094,222.00999450683594,222.52000427246094,1114408,223.51117894847005
2024-11-11 12:30:00,221.90499877929688,222.24000549316406,221.8800048828125,222.19000244140625,1022067,223.44522943521517
2024-11-11 12:45:00,221.86000061035156,222.0,221.6999969482422,221.90499877929688,1038133,223.37360726729628
2024-11-11 13:00:00,221.7949981689453,221.86000061035156,221.5,221.86000061035156,999811,223.30514317365106
2024-11-11 13:15:00,222.4600067138672,222.4600067138672,221.75,221.8000030517578,645249,223.2708600218846
2024-11-11 13:30:00,222.7451934814453,222.75,222.36000061035156,222.4499053955078,849952,223.24568509093226
2024-11-11 13:45:00,222.89999389648438,222.99000549316406,222.72000122070312,222.7449951171875,742574,223.23352370260275
2024-11-11 14:00:00,222.98500061035156,223.0850067138672,222.83999633789062,222.9084930419922,654720,223.2264493412315
2024-11-11 14:15:00,223.05999755859375,223.10000610351562,222.94000244140625,223.0,548303,223.2221686407584
2024-11-11 14:30:00,223.0305938720703,223.17999267578125,222.97000122070312,223.05999755859375,568177,223.2190658390126
2024-11-11 14:45:00,223.0449981689453,223.1300048828125,222.97000122070312,223.03880310058594,461539,223.2162504070616
2024-11-11 15:00:00,223.33999633789062,223.36000061035156,223.01499938964844,223.0500030517578,664600,223.21454066900043
2024-11-11 15:15:00,223.63499450683594,223.74000549316406,223.30999755859375,223.33999633789062,876650,223.22184292026094
2024-11-11 15:30:00,223.7550048828125,223.92999267578125,223.625,223.63999938964844,988346,223.23817275536936
2024-11-11 15:45:00,224.25,224.35000610351562,223.4600067138672,223.7550048828125,2935691,223.2917602182574
2024-11-12 09:30:00,223.96499633789062,225.0399932861328,223.5800018310547,224.6300048828125,3280187,224.41666666666663
2024-11-12 09:45:00,224.25999450683594,224.5,223.5749969482422,223.9499969482422,1408459,224.2940036155746
2024-11-12 10:00:00,223.91000366210938,224.37210083007812,223.66000366210938,224.25,1062561,224.25705849570775
2024-11-12 10:15:00,224.1699981689453,224.23500061035156,223.69000244140625,223.9149932861328,863846,224.21652491352035
2024-11-12 10:30:00,224.476806640625,224.72000122070312,224.17999267578125,224.2050018310547,1151623,224.2390344694439
2024-11-12 10:45:00,224.60000610351562,225.02999877929688,224.42999267578125,224.5,1103654,224.29058153192992
2024-11-12 11:00:00,225.22999572753906,225.3643035888672,224.52999877929688,224.58999633789062,1146691,224.3521135078621
2024-11-12 11:15:00,225.1300048828125,225.5500030517578,225.0500030517578,225.22999572753906,1154754,224.44767864081084
2024-11-12 11:30:00,225.0,225.17999267578125,224.8699951171875,225.02000427246094,861600,224.4888958225465
2024-11-12 11:45:00,224.96560668945312,225.47000122070312,224.8000030517578,225.0,1305881,224.54774261161276
2024-11-12 12:00:00,224.77999877929688,225.07000732421875,224.6199951171875,224.9600067138672,1133917,224.57403508285185
2024-11-12 12:15:00,223.9199981689453,224.83999633789062,223.88499450683594,224.7949981689453,896875,224.57010377875181
2024-11-12 12:30:00,224.1300048828125,224.39999389648438,223.86000061035156,223.9199981689453,771170,224.54573271742305
2024-11-12 12:45:00,223.41990661621094,224.14999389648438,223.38600158691406,224.13999938964844,712087,224.5181110855534
2024-11-12 13:00:00,223.86300659179688,223.8975067138672,223.35499572753906,223.4199981689453,641269,224.48289959770833
2024-11-12 13:15:00,224.47000122070312,224.47000122070312,223.77999877929688,223.86000061035156,689858,224.46597098443127
2024-11-12 13:30:00,224.44000244140625,224.58999633789062,224.28500366210938,224.4499969482422,640233,224.4651443520554
2024-11-12 13:45:00,224.14979553222656,224.5399932861328,224.13999938964844,224.44500732421875,650355,224.46213404294758
2024-11-12 14:00:00,224.6199951171875,224.6699981689453,224.13999938964844,224.13999938964844,738805,224.45681724731466
2024-11-12 14:15:00,224.61990356445312,224.75990295410156,224.4199981689453,224.6199951171875,529620,224.4604720949896
2024-11-12 14:30:00,224.55099487304688,224.64999389648438,224.4600067138672,224.6300048828125,427092,224.4628834742586
2024-11-12 14:45:00,224.52999877929688,224.7299041748047,224.5200958251953,224.57000732421875,485487,224.4661068755627
2024-11-12 15:00:00,224.51499938964844,224.6699981689453,224.44039916992188,224.52999877929688,540670,224.46807237781238
2024-11-12 15:15:00,224.60000610351562,224.82000732421875,224.4600067138672,224.5,763948,224.4722402243054
2024-11-12 15:30:00,224.09500122070312,224.8000030517578,223.94039916992188,224.58999633789062,1920763,224.4700189627998
2024-11-12 15:45:00,224.24000549316406,224.8000030517578,223.9600067138672,224.09500122070312,3555109,224.44688850592937
2024-11-13 09:30:00,223.3415985107422,225.20989990234375,223.33999633789062,223.9499969482422,5902226,224.16663106282553
2024-11-13 09:45:00,223.5399932861328,223.6699981689453,222.75999450683594,223.35000610351562,1608156,223.97249914812005
2024-11-13 10:00:00,223.60000610351562,224.16000366210938,223.41000366210938,223.5500030517578,1604080,223.9257151449738
2024-11-13 10:15:00,223.2100067138672,223.6999969482422,223.16000366210938,223.59010314941406,949144,223.8839953862139
2024-11-13 10:30:00,223.9499053955078,224.05999755859375,223.22500610351562,223.24000549316406,1044612,223.848668576776
2024-11-13 10:45:00,224.0500030517578,224.3000030517578,223.88999938964844,223.9499969482422,936042,223.86405634967522
2024-11-13 11:00:00,224.14999389648438,224.47000122070312,224.0399932861328,224.0500030517578,923478,223.88703050128024
2024-11-13 11:15:00,224.39500427246094,224.42999267578125,224.11000061035156,224.14999389648438,974986,223.9110133538483
2024-11-13 11:30:00,223.80499267578125,224.4824981689453,223.7899932861328,224.46490478515625,728983,223.9276476050687
2024-11-13 11:45:00,224.5500030517578,224.60000610351562,223.77499389648438,223.80499267578125,792433,223.93442964860438
2024-11-13 12:00:00,225.19000244140625,225.36000061035156,224.55499267578125,224.55499267578125,968263,223.98680713822858
2024-11-13 12:15:00,225.02000427246094,225.5500030517578,224.9199981689453,225.1999969482422,835983,224.04666880497143
2024-11-13 12:30:00,225.72999572753906,225.77999877929688,224.94000244140625,225.02499389648438,819411,224.1011063796066
2024-11-13 12:45:00,226.52099609375,226.61000061035156,225.72500610351562,225.72500610351562,1505619,224.24856045941283
2024-11-13 13:00:00,226.55999755859375,226.64999389648438,226.1750030517578,226.52999877929688,792579,224.33421409495452
2024-11-13 13:15:00,226.36380004882812,226.55999755859375,226.22000122070312,226.55999755859375,565143,224.39119606385105
2024-11-13 13:30:00,225.9199981689453,226.42999267578125,225.87669372558594,226.36000061035156,796034,224.4582192370436
2024-11-13 13:45:00,226.02499389648438,226.08999633789062,225.82000732421875,225.9199981689453,966082,224.52138687414316
2024-11-13 14:00:00,226.10000610351562,226.22500610351562,225.8249969482422,226.02999877929688,695723,224.56612433523466
2024-11-13 14:15:00,225.91990661621094,226.1300048828125,225.75289916992188,226.08999633789062,576758,224.60038591981777
2024-11-13 14:30:00,225.3699951171875,225.99130249023438,225.3699951171875,225.91000366210938,730125,224.63455613185025
2024-11-13 14:45:00,225.42999267578125,225.74989318847656,225.33999633789062,225.33999633789062,541962,224.65262464506537
2024-11-13 15:00:00,225.64999389648438,225.7198944091797,225.1186065673828,225.4199981689453,960827,224.6807280867409
2024-11-13 15:15:00,225.3701934814453,225.72999572753906,225.35000610351562,225.63999938964844,756654,224.70576556780787
2024-11-13 15:30:00,225.82000732421875,225.86000061035156,225.21499633789062,225.3800048828125,893694,224.73075382562394
2024-11-13 15:45:00,225.07000732421875,225.9199981689453,224.47000122070312,225.80999755859375,4191960,224.8182574185097
2024-11-14 09:30:00,225.75,226.47999572753906,225.07000732421875,225.07000732421875,4194363,225.54000345865884
2024-11-14 09:45:00,225.72149658203125,226.2899932861328,225.5850067138672,225.75999450683594,1337678,225.6218130440783
2024-11-14 10:00:00,225.64610290527344,225.72000122070312,225.0500030517578,225.72000122070312,1312236,225.59781939523367
2024-11-14 10:15:00,226.57000732421875,226.60000610351562,225.4810028076172,225.6199951171875,1521803,225.6528473966368
2024-11-14 10:30:00,226.91000366210938,226.918701171875,226.33999633789062,226.56500244140625,1577387,225.8043526548317
2024-11-14 10:45:00,226.52999877929688,227.02999877929688,226.46499633789062,226.91000366210938,1055873,225.90008899064662
